web-scraper-order,web-scraper-start-url,page,page-href,item,item-href,FullPrice,MtTot,MtUtil,Bdroom,Bath,PublishedDate,Parking,Description
"1594179365-1455","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","2","https://chilepropiedades.cl/propiedades/venta/casa/santiago/1?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","5.690,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/condominio-las-brisas-norte-chicureo/2906797","5.690,00 UF","363 m²","114 m²","3","2","30/09/2019","2","¡¡¡GRAN REBAJA Y OPORTUNIDAD!!! SE VENDE HERMOSA CASA AISLADA, CONDOMINIO LOS DIAGUITAS “PARQUE BRISAS NORTE DE CHICUREO”, accesos controlados 24/7, 3 Dormitorios y 2 Baños, Sala de Estar, Cocina full equipada  y logia, terraza, quincho, Excelente conectividad (AUTOPISTA LOS LIBERTADORES), privacidad y tranquilidad, cerca de supermercados, centros comerciales, colegios, jardines infantiles y mall.
 
 Metros Cuadrados
 Metros Construidos: 114 metros ^2.
 Metros Terreno: 363 metros ^2.
 
 Terminaciones
 Piso baños: Cerámicos.
 Piso Living - Comedor: Piso Flotante.
 Dormitorios: Porcelanato y Alfombra.
 
 Características propiedad
 Casa en excelente estado y mantención, hermosa y gran terraza techada con quincho incluido, piscina 3x7, logia,  persianas metálicas solo frontis casa, 2 estacionamiento, dormitorio matrimonial en suite y aire acondicionado,  portón eléctrico, jardines formados, riego automático y maravillosa pérgola de madera.
 
 Otros suministros
 internet, teléfono, tv cable, wi-fi, Gastos Comunes $ 50.000, Contribuciones $ 70.000.
 
 Precio: UF 5.690.-
www.lodgepropiedades.cl
 
 Contáctanos: 
 Paulina Montt: +569 96761295.
 Carlos Miranda: +569 75894834.
 Email:contacto@lodgepropiedades.cl"
"1594179325-1442","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","3","https://chilepropiedades.cl/propiedades/venta/casa/santiago/2?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4.528,07
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/plaza-magna/3345143","130.000.000 CLP","168 m²","125 m²","3","3","12/10/2019","1","Se vende espectacular casa en condominio Plaza Magna , a pasos del metro las mercedes, cercana a centro comerciales, supermercado, colegios, jardines infantiles, locomoción colectiva y áreas verdes .
Característica:
3 Dormitorios principal en suite
3 Baños
cocinas
Living-comedor
Sala de estar
Loggia
Quincho
CONTACTAR :
contacto@villenfuentealba.cl"
"1594179319-1440","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","3","https://chilepropiedades.cl/propiedades/venta/casa/santiago/2?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4.353,91
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/san-pablo-maipu/3116066","Santiago, San Pablo & Maipú","200 m²","125.000.000 CLP","6","2","22/08/2019","200 m²","Oportunidad única.  se vende propiedad con potencial comercial ubicada en san pablo/ maipú a pasos de metro quinta normal, contando con alto flujo peatonal y vehicular. Actualmente Se encuentra arrendada en $900.000 Propiedad apta para local comercial o bodega."
"1594179322-1441","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","3","https://chilepropiedades.cl/propiedades/venta/casa/santiago/2?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4.375,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/barrio-yungay/3656882","Santiago, Barrio Yungay","200 m²","4.375,00 UF","6","2","30/06/2020","200 m²","Oportunidad Única. Inmueble habitacional con potencial comercial ubicado en calle Maipú a pasos de avenida San Pablo, cercana a Metro Quinta Normal L5. Cuenta con alto flujo peatonal y vehicular. Actualmente se encuentra con destino habitacional y arrendada en $900.000 por mes. Propiedad apta para local comercial o bodega. Cercana a Barrio Yungay, servicios y equipamiento de todo tipo, comercio, bancos, restoranes, colegios, universidad, transporte, parque Quinta Normal. Buena accesibilidad, a través de Matucana o San Pablo.
Propiedad cuenta con 6 dormitorios y 2 baños. (Ver distribución en la última foto).

(Servicio de Gestión de corretaje 2% + IVA)"
"1594179281-1429","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.350,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/transversal-uno/3490777","6.350,00 UF","345 m²","120 m²","4","4","23/04/2020","2","PROPIEDAD EN VENTA CIUDAD DE LOS VALLES-PUDAHUEL. Barrio cerrado.
¡¡Un concepto de casa diferente, en desniveles, le hace proyectar un cómodo y acogedor ambiente!!
La distribución de la casa consta de lo siguiente:
PRIMER NIVEL: Hall de entrada, baño de visitas, amplio living y dormitorio principal en suite. SEGUNDO NIVEL:  Comedor, cocina amoblada y comedor de diario. Logia y dormitorio de servicio completo. Amplia terraza exterior. TERCER NIVEL: 2 dormitorios con closet, baño completo y sala de estar con terraza que da vista al valle . Su terreno cuenta una amplia terraza en su parte posterior, amplio ante-jardín, riego automático, variedad de frutales, portón automático y estacionamiento para 2 o 3 vehículos. Una excelente alternativa para vivir en un sector tranquilo y de buena conectividad vial. Completo sector comercial cercano, colegios, iglesia, club deportivo, etc."
"1594179296-1434","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4","https://chilepropiedades.cl/propiedades/venta/casa/santiago/3?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4.005,60
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/plaza-magna/3540714","115.000.000 CLP","129 m²","97 m²","4","3","10/05/2020","1","Hermosa casa muy cerca del metro las mercedes , condominio frente Ciudad de Sol ,San Carlos, Puente Alto 
 4 dormitorios 
 3 baños, 
 Cocina equipada 
 Logia 
 Amplio comedor y living 
 Estacionamiento 1 vehículos 
 Bodega 
 Quincho con horno 
 Ubicada en pasaje amplio con acceso restringido ( portón eléctrico) 
 Cercana a Vicuña Mackenna, plazuela independencia, centro de estudios DUOC, supermercados, restaurant, outlett, metro, colegios, excelente ubicación.







Vende N&G Propiedades
 (+569)59043816
Natalia Arenas"
"1594179267-1424","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.000,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/avenida-santa-rosa/3591099","6.000,00 UF","320 m²","180 m²","3","2","03/07/2020","1","¡¡¡FERRADA&VIAL PROPIEDADES!!!
¡INVIERTE YA! Excelente Propiedad + locales comerciales en San Joaquín
La propiedad actualmente funciona con dos locales comerciales, y la vivienda en la parte posterior con acceso por pasaje lateral. Cercana a vías importantes dentro de la comuna de San Joaquín, como Avenida Santa Rosa, Lo Ovalle y Las Industrias.
La casa consta de 118,88 m2 de construidos y 320 m2 de terreno, 3 dormitorios, 2 baños. Cocina semi amoblada, living comedor, loggia
Características:
188 m2 de construidos
320 m2 de terreno
3 dormitorios
2 baños
Living comedor
Cocina
Loggia
Amplio Patio

Con una ubicación privilegiada:
-En avenida principal.
-Gran tránsito de personas.
-En esquina panorámica (incrementa la visibilidad del local).

VALOR UF 6390 más 2% por comisión de corretaje + IVA

Contactar a: 
Fono: ☎️+56 2 29295342 / 📲+ 56 9 34262150 
Equipo FERRADA&VIAL Propiedades
📧 contacto@ferradayvial.cl"
"1594179313-1439","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","3","https://chilepropiedades.cl/propiedades/venta/casa/santiago/2?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4.353,91
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/la-montana-sur-3650/3914648","125.000.000 CLP","194 m²","198 m²","3","3","26/06/2020","2","Mundo propiedades Chile vende hermosa casa ubicada  en el condominio la Montaña.  
El condominio en el que se encuentra la propiedad además posee una laguna artificial navegable y 3 piscinas. 
Casa de 2 pisos distribuida de la siguiente manera: 
Primer nivel: Living, comedor, cocina completamente amoblada y equipada con encimera y  horno eléctrico, baño de visitas,  sala de estar, loggia, quincho y patio,. 
Dormitorio principal con baño en suite,  sauna y jacuzzi.

Segundo Piso: 2 dormitorios, 2 baños,  
Todas las ventanas de la casa son de  PVC con termopanel, el piso es  flotante y cerámico. 
Gasto común 120.000.- aproximadamente  

 
El condominio cuenta con Club House, estacionamiento de visitas, gimnasio, piscina, pérgola, portón automático, quincho, sala Multiuso, jardín posterior, riego automático. 

 
Valor: $125.000.000.-

Superficie total: 194 m²

Superficie construida: 198m²

Dormitorios: 3

Baños: 3

Estacionamiento: 2 

 
Si deseas visitar la propiedad no dudes en llamar 
Sandra Jara Carrasco 
Gestión Inmobiliaria y Legal. 
Mundo propiedades Chile
Cel. +569/42289569"
"1594179334-1445","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","3","https://chilepropiedades.cl/propiedades/venta/casa/santiago/2?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4.702,22
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/exequiel-fernandez-4893/3746169","135.000.000 CLP","140 m²","75 m²","4","2","14/05/2020","2","¡INCREIBLE OPORTUNIDAD!. Vendo hermosa casa con excelente ubicación en la comuna de Macul, sector Villa Los Universitarios. Cuenta con 4 dormitorios(principal en suite), 2 baños, cocina americana remodelada, antejardín, patio trasero. Excelente conectividad. VALOR : $135.000.000. VENDE DUEÑA"
"1594179308-1438","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","3","https://chilepropiedades.cl/propiedades/venta/casa/santiago/2?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4.319,08
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/cerro-chapulul-sur/3152981","124.000.000 CLP","186 m²","90 m²","3","3","30/08/2019","1","Se vende espectacular casa con local comercial en Altos del Raco, de 90 mtrs construidos , cercana a supermercado, colegios, jardines infantiles, locomoción colectiva y áreas verdes .
Característica:
3 Dormitorios principal en suite
3 Baños
cocinas amoblada
Living-comedor
Sala de estar
balcón
Loggia.
Local comercial de 55 metros construidos 

$124.000.000
CONTACTAR :
contacto@villenfuentealba.cl"
"1594179294-1433","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4","https://chilepropiedades.cl/propiedades/venta/casa/santiago/3?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4.005,60
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/los-libertadores-huechuraba-metro/3776081","115.000.000 CLP","180 m²","130 m²","6","2","31/05/2020","1","HERMOSA Y AMPLIA CASA, 2 PISOS 6 DORM - Los Libertadores / Metro

Buena ubicación, cercano a Metro Libertadores de nueva Linea 3, Autopista Libertadores, Ruta 5, Americo Vespucio, Mall Plaza Norte, colegios de prestigio como Pumahue y Grace College.

Hermosa casa Villa Los Libertadores, barrio consolidado y residencial, la casa se encuentra en pasaje sin salida. Casa muy amplia Construcción de 130m2 y terreno de 180m2 aprox, distribuida en 2 pisos, iluminada, con piso flotante en toda la casa y recientemente pintada, cuenta con 5 dormitorios de buen tamaño con closet, más sala de estar que puede ser usada como 6to dormitorio, amplio living comedor de alrededor de 40mts2, 2 baños completos ambos con ventana y tina, cocina amplia con salida a patio posterior, baños y cocina con cerámico.
Antjardín, entrada de auto y patio trasero en L.

**SE ACEPTAN OFERTAS**Ideal para compra al contado, propiedad sin deuda ni hipotecas.

Interesados favor ESCRIBIR y responderemos sus consultas a la brevedad.
Vende Acciona Propiedades"
"1594179301-1436","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4","https://chilepropiedades.cl/propiedades/venta/casa/santiago/3?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","4.144,92
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/elisa-correa-sanfuentes/3578151","119.000.000 CLP","260 m²","110 m²","3","2","12/02/2020","2","Hermosa casa en venta amplia.

Con grandes espacios, cómoda remodelada.

Características: Hall de acceso,

Cuenta con tres dormitorios, 2 baños completos

con cubiertas de mármol en vanitorios.

Amplia cocina tradicional y living comedor.

Amplios ante jardín y patio amplio estacionamientos.

Sector Elisa Correa San fuente paradero 27 1/ 2.

cercano a colegios, comercio, hospital entre otros.

Sector tranquilo y residencial.

Agende visita con antelación, se estudian ofertas serias.
se cancela 2 % gestión Inmobiliaria."
"1594179288-1432","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.966,26
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/general-gana-santiago-concha/2351886","200.000.000 CLP","340 m²","200 m²","3","2","28/06/2020","No","Excelente propiedad para construir o restaurar colindante con otro terreno en venta, gran conectividad, sector tranquilo apto para renovación urbana.



CARACTERÍSTICAS



- 200/340 m2

- 3 Dormitorios

- 2 Baños

- Living comedor separados

- Escritorio

- Cocina amoblada, logia y comedor de diario"
"1594179351-1450","https://chilepropiedades.cl/propiedades/venta/casa/santiago/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","2","https://chilepropiedades.cl/propiedades/venta/casa/santiago/1?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","5.190,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/manuela-errazuriz-3350/3893904","5.190,00 UF","117 m²","138 m²","4","2","18/06/2020","2","MANUELA ERRÁZURIZ #3350  
Grande y Preciosa Casa a la venta en la comuna de Pedro Aguirre Cerda,  
PRECIO DE VENTA UF 5190 
Específicamente ubicada  en Manuela Errázuriz #3350, a metros de la Autopista central. 
La propiedad cuenta con una construcción de 138 m2.
 La casa es de dos pisos ampliada, con certificado de recepción final y se distribuye en 4 dormitorios, 2 baños completos, 1 baño de visitas, con una sala de estar, cocina amplia, logia, living, comedor, con patios exteriores  antejardín y patio trasero. 
Cuenta con ventanas con termo panel, incluye cortinas roller y protección en ventanas. 
Estacionamientos para 2 vehículos con reja de cierre.
 En su interior cuenta con piso flotante en living y dormitorios. Cerámica en cocina y baño.  
La propiedad se encuentra emplazada a metros de la Autopista central, sus vías de acceso  Av. Salesianos y Carlos Valdovinos, “Todo Cerca” Supermercados, centro deportivo, locales comerciales, líneas de metro y clínicas.  
Excelente conectividad hacia el centro de Santiago 

 
 !!No pierdas esta gran oportunidad de tener tu casa propia¡¡ 
Un barrio tranquilo y bonito
 Contáctanos..... 
Agenda tu visita !!+56985950456¡¡"
