web-scraper-order,web-scraper-start-url,item,item-href,Name,Price,MtTot,MtUtil,Bdroom,Bath,Parking,Description,PriceUnit,Province,PropertyType,PropertyState,PublishedDate,pages,pages-href,Province_aux,Province_aux2
"1594171269-671","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.750","https://www.portalinmobiliario.com/MLC-533014407-suecia-lota-metro-los-leones-_JM#position=8&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.750","122 m²","92 m²","3","4","2","Descripción
			
			
			
	

	

	
	
		Excelente departamento, ubicado a pasos del metro Los Leones, 3 Dormitorios + Servicio, 2 Baños, Cocina, Living-comedor, Terrazas. 

Dormitorio principal en suite.Amplios espacios, terraza con salida jardín privado. 

Precio incluye 1 estacionamiento y 1 bodega.

Edificio cuenta con Conserjería. 24hrs. 

Para mas información favor contactar!","UF","null","Departamentos","Propiedades usadas","18-06-2020","","","null","null"
"1594171228-652","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 7.000","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5589423-maginifica-vistapiso-25orienteamplios-espaciosa-pasos-del-metrooportunidad-uda#position=27&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","7.000","143 m²","138 m²","4","3","1","Descripción
			
			
			
	

	

	
	
		MAGNIFICA VISTA...........PISO 25..........ORIENTACION ORIENTE..........AMPLIOS E ILUMINADOS ESPACIOS...........A PASOS DEL METRO.......ESTACIONAMIENTO....BODEGA.......OPORTUNIDAD......TRES DORMITORIOS MAS SERVICIOS............GASTOS COMUNES $120.000.- APROXIMADO, SIN CALEFACCION........OPORTUNIDAD...NO DEJE DE VISTAR

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","04-05-2020","","","null","null"
"1594171241-658","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 170.000.000","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5618246-hernando-de-aguirre-carmen-silva-uda#position=21&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","170.000.000","110 m²","84 m²","3","3","1","Descripción
			
			
			
	

	

	
	
		Esta propiedad se puede visitar desde el 15 DE JUNIO 2020, puede agendar desde ahora su visita
Estamos a su disposición para atender virtualmente sus consultas sobre esta propiedad por correeo, teléfono y WhatsApp.

Excelente ubicación, sector sector Hernando de Aguirre, El Bosque Sur, solo a 5 cuadras de Providencia y a cuadras metro Tobalaba.
Edificio 20 años de antiguedad, tranquilo, en buen estado, con vista y balcones que rodea todo el departamento, balcones con toldos.

Piso flotante en todo el dpto, ventanas termopanel, todo el dpto está pntado recién color blanco.
Pasillo Living- Comedor luminoso, salida a balcón, cocina con muebles, incluye horno y campana, con loggia buen tamaño.
Cuenta con 3 Dormitorios, todos son en Suite, el Dormitorio Principal, con salida a terraza, otro Dormitorio amplio con closet y en suite y el 3er Dormitorio pequeño puede ser de servicio o  también puede ser utilizados como escritorio.

Posee 1 estacionamiento techado y bodega amplia con repisas
Gasto Común: $140.000 aprox, ascensores, consejería 24 hrs.
No posee calefacción

Vende exclusivo Corredor de Propiedades, Nicole Sanz , 9 9537 3880
NS Propiedades SPA

Terminaciones 
Piso baños: cerámica
Piso dormitorios: piso flotante

Suministros 
Agua caliente: calefón

Características propiedad 
hall, cocina amoblada

Características comunidad 
accesos controlados, circuito cerrado de tv, citófono, portón eléctrico

Gastos 
Gastos comunes: $ 130.000

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","$","null","Departamentos","Propiedades usadas","18-05-2020","","","null","null"
"1594171250-662","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.900","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5589440-genova-perdo-de-valdivia-uda#position=17&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.900","113.2 m²","105.2 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		Amplio y luminoso departamento ubicado a cuadras de providencia en calle interior y muy  poco transitada, el edificio tiene salida también a Galvarino Gallardo.  piso 3°

Terminaciones 
Piso baños: porcelanato
Piso dormitorios: piso flotante

Suministros 
Agua caliente: central agua caliente

Características propiedad 
loggia, terraza con malla, cocina equipada, portón automático

Características comunidad 
accesos controlados, áreas verdes, citófono, estacionamiento de visitas, gimnasio, juegos infantiles, piscina, portón eléctrico, sala de eventos, sala de juegos

Gastos 
Contribuciones: $ 106.222
Gastos comunes: $ 120.000

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","02-06-2020","","","null","null"
"1594171275-674","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 185.000.000","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5591004-maravillosa-vista-av-santa-maria-uda#position=5&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","185.000.000","100 m²","100 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		MODERNO, LUMINOSO.
Amplio living comedor con maravillosa vista despejada ,cocina equipada (encimera, horno, campana retráctil) 3 dormitorios (en dos caben cama matrimonial), 2 baños, piso porcelanato.
Calefacción central apoyado con paneles solares en todo el depto, ventanas termopanel.
1 estacionamiento y bodega

Edificio muy seguro con circuito cerrado, acceso a edificio y ascensor con huella digital.
 Sala de eventos, lavandería, sala de reciclaje y un amplio jardín
Cómodos estacionamientos de visitas.

Gastos Comunes $150.000
Contribuciones $ 130.000


Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","$","null","Departamentos","Propiedades usadas","22-06-2020","","","null","null"
"1594171209-643","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 184.000.000","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5413940-antonio-bellet-perez-valenzuela-uda#position=36&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","184.000.000","130 m²","130 m²","3","3","1","Descripción
			
			
			
	

	

	
	
		Amplio departamento en primer piso elevado con entrada independiente en privilegiada ubicación, frente al Parque y cercano metro Pedro De Valdivia.
Todo piso de parque. Hall y recibos amplios separados muy luminosos. Cocina de excelente tamaño modelada. Lavadero aparte. Dependencias completas . 3 dormitorios 2 baños completos
Estacionamiento subterráneo.
Gastos Comunes $ 106.000
Contribuciones departamento y bodega $188.343 cada cuota
Para visitas contactarse con oficina de Juan Carlos Valdivia Propiedades al 222428940

Terminaciones 
Piso baños: cerámica
Piso dormitorios: parquet

Características propiedad 
hall, reja en ventanas, cocina amoblada, cocina equipada, portón automático

Características comunidad 
accesos controlados, citófono, portón eléctrico

Gastos 
Gastos comunes: $ 106.000
Contribuciones: $ 175.996

Estacionamientos y bodegas 
 Estacionamientos: 1","$","null","Departamentos","Propiedades usadas","07-02-2020","","","null","null"
"1594171267-670","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 184.000.000","https://www.portalinmobiliario.com/MLC-532282511-departamento-en-venta-metro-pedro-de-valdivia-_JM#position=9&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","184.000.000","110 m²","100 m²","3","3","2","Descripción
			
			
			
	

	

	
	
		Nor Oriente-Muy luminoso y bien mantenido-Primer piso elevado-Amplio hall de acceso -Living y comedor con salida a terraza en ele-3 dormitorios de buen tamaño-2 baños -Cocina de buen porte modernizada- Loggia -Dependencias de servicio- Estacionamiento subterraneo- Todas las ventanas con protecciones exteriores y cortinas roller al interior--Todo piso parquet buen estado-Silencioso -Estupenda conectividad- Edificio rodeado arboles y frente a parque.","$","null","Departamentos","Propiedades usadas","15-06-2020","","","null","null"
"1594171271-672","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 199.990.000","https://www.portalinmobiliario.com/MLC-533235072-lota-holanda-_JM#position=7&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","199.990.000","130 m²","120 m²","3","4","2","Descripción
			
			
			
	

	

	
	
		Lindo departamento, ubicado en el mejor sector de providencia lota/ holanda, amplio, tres dormitorios de muy buen tamaño, dos baños uno en suite y el segundo se comparte para los otros dos dormitorios, cada dormitorio tiene su terraza posibilidad de ampliarlos, rica cocina amplia semi re modelada con buena logia,  servicios  con baño, y gran closet. Cocina con logia amplia, piso 5 excelente ubicación , nor poniente, estacionamiento y bodega.","$","null","Departamentos","Propiedades usadas","19-06-2020","","","null","null"
"1594171280-676","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.990","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5683455-departamento-primer-piso-con-amplio-patio-privado-ubicado-en-pio-x-con-holanda-uda#position=3&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.990","210 m²","88 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		Departamento en primer piso con patio con entrada independiente de auto.

Amplios espacios, piso parquet pulido, impecable falta vitrificar, cuenta con living comedor, cocina, dos dormitorios con closet y dos baños, loggia y pieza de servicio.

El departamento cuenta con calefacción por losa radiante. Agua caliente por caldera.

Excelente ubicación en la comuna de Providencia, con acceso inmediato a importantes avenidas y autopistas que permiten una conexión inmediata a todos los puntos de la ciudad.

Cuenta con Estacionamiento y Bodega.


Solicite su visita a Daniela Pezoa Whatsapp +56998714011. Entra directo a : https://wa.me/56998714011

Terminaciones 
Piso baños: cerámica
Piso dormitorios: parquet

Suministros 
Agua caliente: caldera
Calefacción: losa radiante

Características propiedad 
comedor de diario, hall, loggia, cocina amoblada, cocina equipada

Características comunidad 
accesos controlados, áreas verdes, citófono

Gastos 
Gastos comunes: $ 220.000

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","25-06-2020","","","null","null"
"1594171262-668","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.400","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5654949-miguel-claro-con-bilbao-uda#position=11&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.400","153 m²","148 m²","4","2","1","Descripción
			
			
			
	

	

	
	
		Amplio departamento antiguo, sólido en primer piso con parquet en excelente ubicación de Providencia Av. Miguel Claro. Estacionamiento directo por Miguel Claro.

Estacionamientos y bodegas 
 Estacionamientos: 1","UF","null","Departamentos","Propiedades usadas","08-06-2020","","","null","null"
"1594171273-673","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 199.990.000","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5640074-miguel-claro-francisco-bilbao-uda#position=6&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","199.990.000","129 m²","125 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		VISITAS LLAMAR A LA CORREDORA  TELEFONOS  997457275 -993182184
EXCELENTE   SECTOR y UBICACION , PLUSVALIA, luminoso,  trivista,  oriente  Norte, Poniente, Sur, Piso Parquet, 2° piso sin ascensor.
Hall de distribución, amplio Living comedor separados, piso parquet y terraza, tres dormitorios muy amplios, principal tiene salida a terraza, dos baños, cocina, logia inntegrada.
 pieza y baño de servicio. Estacionamiento en Superficie y Bodega.
Edificio de construcción sólida año 1953, son  en total 6 departamentos y 2 por pisos. Gastos comunes bajo $ 65,000  apróx.el incluye el agua.
Atención Inversionistas canon de arriendo apróx $ 550,000-
Contribuciones total  $ 160,000- ( incluye  depto + estac +bodega)","$","null","Departamentos","Propiedades usadas","22-06-2020","","","null","null"
"1594171217-647","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.523","https://www.portalinmobiliario.com/MLC-522359193-propiedad-en-arturo-claro-parque-ines-de-suarez-_JM#position=32&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.523","104 m²","97 m²","3","3","3","Descripción
			
			
			
	

	

	
	
		Excelente departamento en uno de los mejores sectores de Providencia. Calle tranquila a pasos del Parque Inés de Suárez y de la estación de Metro del mismo nombre.

Muy amplio living comedor, luminoso. Terraza con linda vista. Cocina tradicional con log","UF","null","Departamentos","Propiedades usadas","18-03-2020","","","null","null"
"1594171239-657","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.975","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5615079-metro-los-leones-uda#position=22&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.975","126 m²","120 m²","4","3","1","Descripción
			
			
			
	

	

	
	
		Depto con excelente conectividad, Living comedor,rica terraza, cocina, logia, 3 dormitorios mas pieza y baño de servicio, 2 baños más.
Piso de Parquet vitrificado, calefacción central (no operativa ), orientación norte.
Contribuciones $140.000 trimestrales.
a muy buen precio.

Terminaciones 
Piso baños: cerámica
Piso dormitorios: parquet

Suministros 
Agua caliente: calefón
Calefacción: otro

Características comunidad 
accesos controlados, estacionamiento de visitas

Gastos 
Gastos comunes: $ 100.000

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","17-05-2020","","","null","null"
