web-scraper-order,web-scraper-start-url,item,item-href,Name,Price,MtTot,MtUtil,Bdroom,Bath,Parking,Description,PriceUnit,Province,PropertyType,PropertyState,PublishedDate
"1594168334-169","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.900","https://www.portalinmobiliario.com/MLC-525806449-casa-en-venta-walker-martinezcolombia-_JM#position=6&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","La Florida: Walker Martinez/colombia, Santiago","6.900","200 m²","110 m²","3","3","3","Descripción
			
			
			
	

	

	
	
		Propiedad Habitacional y /o Comercial  Gran Propiedad en Plena Avenida Walker Martínez, con lindas terminaciones, Local comercial habilitado con patente municipal, recepción final. Cercana a colegios, comercio en general.  La casa cuenta con living comedor,amplia cocina americana, 3 dormitorios, 3 baños con Jaccuzzi. Piso flotante en living comedor y dormitorios. Baños con porcelanato. Terraza muy agradable con finas terminaciones.","UF","Santiago","Casas","Propiedades usadas","07-05-2020"
"1594168321-163","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.100","https://www.portalinmobiliario.com/MLC-524477155-casa-en-venta-valle-lo-campino-_JM#position=12&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","Quilicura: Valle Lo Campino, Santiago","6.100","220 m²","140 m²","4","4","3","Descripción
			
			
			
	

	

	
	
		FPV3138 Casa ubicada en el Valle Lo Campino, comuna de Quilicura. Cuenta con una ampliación de 40 mts2, donde se aumentó la superficie de la cocina, terraza y bodega. El Valle Lo Campino, ofrece variados servicios, como supermercados, colegios y locomoción permanente. En el caso de materializarse la venta, el dueño incluye en la entrega muebles de escritorio, tv y otros.","UF","Santiago","Casas","Propiedades usadas","24-04-2020"
"1594168305-155","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.700","https://www.portalinmobiliario.com/MLC-524430579-casa-en-venta-plaza-las-campanas-_JM#position=20&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","La Reina: Plaza Las Campanas, Santiago","6.700","110 m²","97 m²","3","3","3","Descripción
			
			
			
	

	

	
	
		Cómoda casa de dos pisos en condominio. Primer piso, living comedor juntos, todo piso cerámica, cocina amoblada, amplia logia con lavadero (conexión para lavadora y lavavajillas), baño de visitas. Segundo piso, 3 amplios dormitorios con closet y 2 baños completos. Segundo piso piso flotante. Cuenta con estacionamiento techado y estacionamiento para 2 autos. Barrio tranquilo con áreas verdes, colegios y comercio. Excelente conectividad y alta plusvalía. (Código interno: FEG4044)","UF","Santiago","Casas","Propiedades usadas","23-04-2020"
"1594168325-165","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.500","https://www.portalinmobiliario.com/MLC-524477470-casa-en-venta-chicureo-centro-_JM#position=10&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","Colina (chicureo): Chicureo Centro, Santiago","6.500","291 m²","131 m²","4","4","4","Descripción
			
			
			
	

	

	
	
		FPV3595  Estupenda casa en sector consolidado de chicureo centro a pasos de comercio, colegios y autopistas. Condominio con seguridad permanente, plaza de juegos para los niños. Jardín formado en excelente estado con riego automático, ubicación nor oriente .  DISTRIBUCIÓN: Hall de acceso con piso cerámica, living comedor juntos ambos con piso flotante y salida a terraza techada y quincho completo con mesón y lava copas. Cocina equipada, con muebles de granito y espacio para comedor de diario, lavadero techado con muebles cubiertas de mármol. Baño de visitas. DORMITORIOS: 1er piso: Estar, escritorio o pieza de guagua mas dormitorio principal en suite con walk in closet y salida a terraza y jardín. 2do piso: Gran estar con bodega, dos amplios dormitorios con baño completo.  EXTERIOR: Precioso jardín formado y muy bien cuidado, bodega con salida a patio de entrada. Quincho techado con muebles y lava copas. estacionamiento para dos autos.","UF","Santiago","Casas","Propiedades usadas","24-04-2020"
"1594168338-171","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 140.000.000","https://www.portalinmobiliario.com/MLC-529532147-casa-en-venta-cerro-negro-_JM#position=4&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","San Bernardo: Cerro Negro, Santiago","140.000.000","160 m²","98 m²","3","3","3","Descripción
			
			
			
	

	

	
	
		Casa en condominio, living comedor, Cocina cerrada, Baño de visitas, sala de estudio, lavadero, terraza.  2° piso:3 dormitorios, suite, 2 Baños.  entrada de autos.","$","Santiago","Casas","Propiedades usadas","28-05-2020"
"1594168290-148","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 4.148","https://www.portalinmobiliario.com/MLC-524330494-casa-en-venta-santa-maria-_JM#position=27&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","Maipú: Santa María, Santiago","4.148","132 m²","109 m²","3","3","3","Descripción
			
			
			
	

	

	
	
		Excelente propiedad en Villa Santa María rodeada de áreas verdes, ubicada a pasos de la Autopista del Sol, a 7 minutos de la Ruta 68, a 6min de Av. Pajaritos y Metro Del Sol y/o Metro Santiago Bueras. Cercana a Mall Arauco Maipú, boulevard, colegios, supermercados, Parque el Rosal, centros médicos, estaciones de servicio, restaurantes, Cerro Primo de Rivera, entre otros. La propiedad tiene 132m2 de terreno y 109m2 construidos originales.Consta de la siguiente distribución: 1er piso: Living comedor separados, cocina tradicional amoblada, 1 baño completo, 1 baño de visita (lo utilizan actualmente de logia) antejardín, patio lateral con cobertizo de madera con capacidad para estacionar 3 vehículos, patio trasero al aire libre, quincho techado con pérgola y bodega, posibilidad de un cuarto dormitorio. 2do piso : Amplio dormitorio matrimonial con sala de estar incluida, 2 dormitorios, todos con clóset, 1 baño completo. Características adicionales: Puerta y portón eléctrico. Citófono.  Aire acondicionado en dormitorio matrimonial. Ejecutiva Carol Torres +569 6374 4389 Cód Int.: FRF2067","UF","Santiago","Casas","Propiedades usadas","21-04-2020"
"1594168342-173","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.000","https://www.portalinmobiliario.com/MLC-530842246-casa-en-venta-el-guanaco-norte-_JM#position=2&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","Huechuraba: El Guanaco Norte, Santiago","6.000","165 m²","128 m²","4","4","3","Descripción
			
			
			
	

	

	
	
		Guanaco Norte/ del Manantial, amplia casa 3 pisos, aislada y en condominio 128 / 220 m2, 4 dormitorios, walk in closet, 2 baños completos, principal en suite, cocina amoblada, living comedor separados con salida a terraza, mansarda acondicionada para dormitorio, sala de juegos, pieza de lavado, estacionamiento para 2 vehículos, juegos infantiles, conserjería 24 horas, excelente conectividad, próximo a comercio y servicios.","UF","Santiago","Casas","Propiedades usadas","07-06-2020"
"1594168292-149","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 4.357","https://www.portalinmobiliario.com/MLC-524330539-casa-en-venta-ciudad-satelite-_JM#position=26&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","Maipú: Ciudad Satélite, Santiago","4.357","198 m²","128 m²","4","4","3","Descripción
			
			
			
	

	

	
	
		Excelente propiedad ubicada en Ciudad Satélite, cercana a Colegios, supermercados y centros de servicio, con excelente conectividad a través de camino a Melipilla.      La propiedad consta de 198 m2 de Terreno y 128.72 m2 construidos (57.72 m2 sin regularizar) distribuidos en :    Living comedor juntos, 4 dormitorios, 3 baños completos, amplia cocina independiente.    Estacionamiento para un vehículo, capacidad para estacionar mas vehículos en el exterior, cobertizo y patio.  Código interno FRF2163, Ejecutiva Marcela Aguilera 9-7135 96 74// Oficina 22 383 62 80","UF","Santiago","Casas","Propiedades usadas","21-04-2020"
"1594168340-172","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 120.000.000","https://www.portalinmobiliario.com/MLC-529607723-casa-en-venta-juanita-aguirre-_JM#position=3&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","Conchalí: Juanita Aguirre, Santiago","120.000.000","160 m²","46 m²","3","3","2","Descripción
			
			
			
	

	

	
	
		Huechuraba / Pasaje Tokio, Amplia casa remodelada 160/103 M2, 3 dormitorios, 2 baños, cocina tradicional cerrada, patio, ante-jardin, estacionamiento 2 vehículos, cobertizo de roble, puertas de alerce, excelente acceso, supermercados, colegios, mall y cercano a Metro.","$","Santiago","Casas","Propiedades usadas","29-05-2020"
"1594168328-166","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 4.950","https://www.portalinmobiliario.com/MLC-524491682-casa-en-venta-el-recreo-las-parcelas-_JM#position=9&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","Isla De Maipo: El Recreo-las Parcelas, Santiago","4.950","5000 m²","120 m²","3","3","2","Descripción
			
			
			
	

	

	
	
		Oportunidad!!.. Parcela en condominio sector Islita. Variedad de árboles frutales en formación. Casa consta de 3 dormitorios, principal en suite, 2 baños en perfecto estado, living comedor, cocina amoblada, comedor de diario, oficina (o 4to dormitorio), Agua potable.  Se aceptan ofertas.  Mayor información. Contacto: Margarita Cabrera C. 991958607","UF","Santiago","Casas","Propiedades usadas","24-04-2020"
"1594168294-150","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 4.357","https://www.portalinmobiliario.com/MLC-524330564-casa-en-venta-los-heroes-_JM#position=25&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","Maipú: Los Héroes, Santiago","4.357","127 m²","74 m²","3","3","3","Descripción
			
			
			
	

	

	
	
		Excelente Propiedad,  casa esquina, aislada, de 2 pisos distribuido en:  1° Piso: Living comedor separados, cocina independiente, baño de visita.  2° Piso: 3 dormitorios con closet, 2 baños con uno en suite.   Propiedad cuenta con 127mt2 de terreno, construcción original, cobertizo con vigas a la vista, entrada de hasta 4/5 vehículos en antejardín, acceso por el costado con entrada de 2 vehículos más aprox, patio techado con instalación para lavadora, secadora.   Cercana a: La Galaxia / Alfredo Silva Carvallo / Pdte. Eduardo Frei Montalva. Acceso a Autopista del Sol a minutos, colegios, liceos, plazas, paraderos de micros, Bancos, gimnasios, minimarket, MidMall Outlet Maipú, entre otros.   Cód. Int. FRF2210 Franciska Garrido Cerpa +569 64409770","UF","Santiago","Casas","Propiedades usadas","21-04-2020"
"1594168288-147","https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 160.000.000","https://www.portalinmobiliario.com/MLC-524329543-casa-en-venta-francisco-de-villagra-_JM#position=28&type=item&tracking_id=0e17d6a7-c654-4305-9a59-4b71cf81e060","La Reina: Francisco De Villagra, Santiago","160.000.000","170 m²","73 m²","3","3","1","Descripción
			
			
			
	

	

	
	
		Buena casa en pleno José Arrieta a pasos de Américo Vespucio, calle cerrada, tiene 3 dormitorios, 1 baño, en construcción ligera parte trasera de la casa tiene otro dormitorio con baño.  Casa para remodelar bien ubicada.","$","Santiago","Casas","Propiedades usadas","21-04-2020"
