web-scraper-order,web-scraper-start-url,item,item-href,Name,Price,MtTot,MtUtil,Bdroom,Bath,Parking,Description,PriceUnit,Province,PropertyType,PropertyState,PublishedDate,pages,pages-href
"1594171468-699","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.800","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5627159-mar-del-sur-cristobal-colon-uda#position=9&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","6.800","100 m²","100 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		AMPLIO Y BUEN DEPARTAMENTO.
Consta de Living Comedor amplio con salida a terraza, Terraza amplia con ventanales, Cocina amoblada, Logia con ventana,
Dormitorio principal amplio con salida a terraza, buen closet, segundo Dormitorio amplio con closet y ventanas termopanel, 
tercer dormitorio pequeño con closet,
 
Baño principal con tina y ventana amplia, piso porcelanato, segundo baño con media tina, piso ceràmica.
Ambos baños fueron remodelados con wc y vanitorios nuevos, 1 Estacionamiento, 1 Bodega
departamento en excelente ubicaciòn, Locomociòn, Comercio, Servicios, Colegios.
Contactar a Antonio Paya +569 4026 9753, mail: paya.propiedades@gmail.com

  

Terminaciones 
Piso baños: porcelanato
Piso dormitorios: piso flotante

Suministros 
Agua caliente: central agua caliente

Características propiedad 
loggia, terraza con malla, cocina amoblada, portón automático

Características comunidad 
accesos controlados, citófono, portón eléctrico

Gastos 
Gastos comunes: $ 120.000

Otros suministros 
internet, teléfono, tv cable, wi-fi

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","24-05-2020","",""
"1594171455-693","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 155.000.000","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5542891-iv-centenario-afleming-uda#position=15&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","155.000.000","114 m²","110 m²","4","3","1","Descripción
			
			
			
	

	

	
	
		Estupendo departamento en 1er Piso interior con orientación oriente en complejo de varios Edificios de 4 Pisos con seguridad 24/7. Este departamento tiene Living/Comedor, cocina con comedor de diario, logia y baño y pieza de servicio. 3 Dormitorios de buen tamaño con excelentes closet. Gasto Común $100.000.-  A pasos de Supermercado Jumbo y zona comercial.  A pasos de Mall Los Dominicos.  Excelente conectividad y locomoción.

Estacionamientos y bodegas 
 Estacionamientos: 1","$","null","Departamentos","Propiedades usadas","04-04-2020","",""
"1594171472-701","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 200.000.000","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5593259-rotonda-atenas-cristobal-colon-uda#position=7&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","200.000.000","120 m²","112 m²","3","3","1","Descripción
			
			
			
	

	

	
	
		Amplio departamento, Nororiente, cercano a colegio Institución Teresianas y San Juan Evangelista.
Living comedor con exquisita terraza // Cocina de buen tamaño con logia cerrada // /Servicios completos.
3 dormitorios muy iluminados y de buen tamaño, principal en suite // Segundo baño que comparten los otros dos dormitorios.
1 estacionamiento // 1 bodega // Conserje 24/7 // Estacionamiento de visita.

Características propiedad 
loggia

Características comunidad 
accesos controlados, estacionamiento de visitas, portón eléctrico

Gastos 
Contribuciones: $ 160.000
Gastos comunes: $ 100.000

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","$","null","Departamentos","Propiedades usadas","09-06-2020","",""
"1594171430-681","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.800","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5067096-avenida-cristobal-colon-3940-departamento-713-uda#position=27&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","6.800","114 m²","114 m²","4","3","1","Descripción
			
			
			
	

	

	
	
		Lindo departamento con excelente ubicación a pasos del metro, cerca de colegios, farmacia y otros servicios.El departamento cuenta con hall de entrada un dormitorio en suite con walk in closet , 2 dormitorios que comparten un baño, living comedor, cocina, dormitorio de servicio con baño. Los dormitorios están orientados al oriente 
Tiene 1 estacionamiento y bodega.
Gastos comunes $ 110.000 

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","10-09-2019","",""
"1594171476-703","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.700","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5683945-los-militares-noruega-uda#position=5&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","6.700","102.4 m²","91 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		EXCELENTE UBICACIÓN EN CONDOMINIO EMPLAZADO ENTRE LOS MILITARES-NUESTRA SEÑORA DEL ROSARIO-CERRO EL PLOMO, CERCANO A AVDA. APOQUINDO-ESTACIÓN MANQUEHUE-METRO. AREAS VERDES, ESTACIONAMIENTOS PRIVADOS, ACCESOS CONTROLADOS.

DEPARTAMENTO EN BUEN ESTADO DE CONSERVACIÓN CON ORIENTACIÓN NORTE-ORIENTE-SUR.

PROGRAMA DEL DEPARTAMENTO: HALL INGRESO, AMPLIO LIVING-COMEDOR CON SALIDA A TERRAZA CUBIERTA ORIENTADA AL NORTE, 3 DORMITORIOS CON CLOSET, PASILLO DE DISTRIBUCIÓN, COCINA Y LOGGIA.
CUENTA CON 1 ESTACIONAMIENTO EN PRIMER NIVEL Y BODEGA EN SUBTERRÁNEO.

GASTOS COMUNES $82.000.- POR MES
CONTRIBUCIONES $115.000.- CUOTA TRIMESTRAL

CONTACTAR A REALVALUE PROPIEDADES contacto@realvalue.cl +56 9 98650159 +56 9 54920358

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","26-06-2020","",""
"1594171425-679","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","","","Departamentos en Venta en Las Condes, 3 dormitorios o más","","","","","","","","","","","","","null",""
"1594171434-683","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 190.000.000","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5372641-tomas-moro-monrroe-uda#position=25&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","190.000.000","104 m²","100 m²","4","3","1","Descripción
			
			
			
	

	

	
	
		Departamento con presiosa vista, excelente ubicación, cercano a colegios, supermercados, centros comerciales, locomoción.
Cuenta con hall de entrada, living comedor y terraza cerrada, amplia cocina, 3 dormitorios, 2 baños, dependencias de servicio. 
Completo con piso flotante.
El edificio cuenta con conserjeria 24/7 y lindos jardines y Jardín Infantil pagado que tiene acceso desde el mismo condominio.
1 estacionamiento 
No dejar de ver

Terminaciones 
Piso baños: cerámica
Piso dormitorios: piso flotante

Suministros 
Agua caliente: calefón

Características propiedad 
cocina amoblada

Características comunidad 
accesos controlados, áreas verdes, citófono

Gastos 
Contribuciones: $ 105.000
Gastos comunes: $ 85.000

Estacionamientos y bodegas 
 Estacionamientos: 1","$","null","Departamentos","Propiedades usadas","23-01-2020","",""
"1594171480-705","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.800","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5692445-mar-del-sur-uda#position=3&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","6.800","100 m²","100 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		Precioso departamento de 100 metros en muy buen estado, impecable. Living y comedor juntos con salida a terraza, 1 dormitorio con su baño remodelado, y 2 dormitorios compartiendo 1 baño. Cocina equipada, 1 estacionamiento y 1 bodega.  Gasto comun 120 mil. Orietacion norponiente.  

Características comunidad 
accesos controlados, citófono

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","01-07-2020","",""
"1594171453-692","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.900","https://www.portalinmobiliario.com/MLC-522359380-propiedad-en-pontevedra-nor-oriente-_JM#position=16&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","6.900","120 m²","120 m²","4","5","3","Descripción
			
			
			
	

	

	
	
		Excelente departamento en  residencial ubicación de la comuna de Las Condes.
Hall de acceso, amplio living comedor con terraza incorporada. Cocina de buen  tamaño con loggia.
Tres dormitorios (principal en suite), dos baños completos, más dormitorio y b","UF","null","Departamentos","Propiedades usadas","18-03-2020","",""
"1594171442-687","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 7.000","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5470519-escuela-militar-uda#position=21&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","7.000","105 m²","96 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		Amplio Departamento en Las Condes:

- Piso 6 con vista al parque de Vespucio
- Hall de distribución
- Habitación principal y secundaria vista oriente
- Pieza de escritorio o servicio con closet
- Dos baños
- Vista oriente y norte, cocina con loggia, closet despensa
- Termopanel, terraza amplia hacia el.oriente
- Aire acondicionado, sin calefacción central
- Estacionamiento y bodega subterráneos
- Seguridad 24/7, jardines comunes y estacionamiento de visita contribuciones 140.000, gasto común 130.000
- Edificio del año 1988



Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","03-03-2020","",""
"1594171447-689","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.250","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5465283-mar-del-sur-colon-sebastian-el-cano-uda#position=19&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","6.250","102 m²","80 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		Lindísimo departamento muy luminoso en calle tranquila sin ruido ,Mar del Sur ,a pasos de Colon -Sebastián Elcano - Plaza de juegos infantiles
Orientación NOR -ORIENTE con Hanga-Roa y malla en ventanales. Living comedor con salida a Gran terraza con vista despejada . 
Tres dormitorios y 2 baños completos,el baño principal con luz natural.
 El tercer dormitorio puede ser de servicio o escritorio . Closets muy amplios.
Todo con piso flotante en buen estado y recién pintado .
Un estacionamiento techado y una bodega . Gastos comunes bajos, VER !!!
Llegar e instalarse !!! Seguridad 24 /7 




Características propiedad 
hall, loggia, terraza con malla, persianas, portón automático

Características comunidad 
accesos controlados, áreas verdes, portón eléctrico

Gastos 
Contribuciones: $ 78.121
Gastos comunes: $ 110.000

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","11-03-2020","",""
"1594171432-682","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.900","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5084254-las-condesmall-sport2-estacionamientos-uda#position=26&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","6.900","120 m²","115 m²","3","3","2","Descripción
			
			
			
	

	

	
	
		-AMPLIO DEPARTAMENTO
-MUY LUMINOSO
-CON ASCENSOR
-HALL DE ENTRADA
-RECIBOS CON SALIDA A TERRAZA( CERRADA), AHORA SE UTILIZA COMO SALA DE ESTAR Y ESCRITORIO
-2 DORMITORIOS
-1 EN SUITE
-2 BAÑOS
-MÁS SERVICIOS COMPLETOS (DORMITORIO Y BAÑO)
-COCINA EQUIPADA, LOGGIA
-2 ESTACIONAMIENTOS (TANDEM)
-AMPLIA BODEGA
-EDIFICIO SOLO CUENTA CON ESTACIONAMIENTOS DE VISITAS
-CONSULTAS LLAMAR AL + 56 9 54003843

Características propiedad 
despensa, hall, loggia, cocina amoblada, cocina equipada

Características comunidad 
accesos controlados, estacionamiento de visitas

Gastos 
Gastos comunes: $ 180.000

Estacionamientos y bodegas 
 Estacionamientos: 2
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","23-09-2019","",""
"1594171440-686","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.800","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5453886-cristobal-colon-tobalaba-uda#position=22&type=item&tracking_id=d43fd5fe-c26d-4f4e-a916-f4bfaf3edcf1","Departamentos en Venta en Las Condes, 3 dormitorios o más","6.800","113 m²","104 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		104/9 mts aprox, 3 dormitorios piso de madera, 2 baños, living-comedor juntos piso cerámica, cocina, logia, calefacción por radiadores, terraza, vista despejada, un estacionamiento y una bodega. 4 departamentos por piso. orientación sur (cocina y tercer dormitorio) y oriente (2 dormitorios, living, terraza) 

Celular : 945573465 


Características propiedad 
loggia, cocina amoblada

Características comunidad 
accesos controlados

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","25-02-2020","",""
